slug,display_name,status,source_url,retrieved_utc,file_rel_path,license_note,notes
alex-absalom,Alex Absalom,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
alan-hirsch,Alan Hirsch,ok,resumed — see notes,2026-04-06T05:16:17Z,intelligence/leader-research/profiles/alan-hirsch/media/headshot/alan-hirsch-source.jpg,Wikipedia batch — verify Commons before public use,skipped fetch; file already present
alan-roxburgh,Alan Roxburgh,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
andy-crouch,Andy Crouch,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
beau-crosetto,Beau Crosetto,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ben-connelly,Ben Connelly,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
bill-hull,Bill Hull,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
bob-roberts-jr,Bob Roberts Jr.,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
bobby-harrington,Bobby Harrington,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
brad-brisco,Brad Brisco,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
brandon-kelly,Brandon Kelly,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
bree-mills,Bree Mills,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
brian-sanders,Brian Sanders,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
caesar-kalinowski,Caesar Kalinowski,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
cam-roxburgh,Cam Roxburgh,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
cathy-ross,Cathy Ross,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
chris-galanos,Chris Galanos,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
christiana-rice,Christiana Rice,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
christine-caine,Christine Caine,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
curtis-sergeant,Curtis Sergeant,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dan-white-jr,Dan White Jr.,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
daniel-im,Daniel Im,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
danielle-strickland,Danielle Strickland,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
danny-sathyadass,Danny Sathyadass,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
darren-cronshaw,Darren Cronshaw,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
darryl-answer,Darryl Answer,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
darryn-altclass,Darryn Altclass,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dave-coles,Dave Coles,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dave-ferguson,Dave Ferguson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dave-gibbons,Dave Gibbons,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
david-fitch,David Fitch,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
david-garrison,David Garrison,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
debra-hirsch,Debra Hirsch,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dietrich-schindler,Dietrich Schindler,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ed-love,Ed Love,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ed-stetzer,Ed Stetzer,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
emanuel-prinz,Emanuel Prinz,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
eric-swanson,Eric Swanson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
eun-k-strawser,Eun K. Strawser,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
felicity-dale,Felicity Dale,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
francis-chan,Francis Chan,not-found,,,,,no usable enwiki page with thumbnail in top search results (or disambiguation only)
frank-viola,Frank Viola,not-found,,,,,no usable enwiki page with thumbnail in top search results (or disambiguation only)
george-patterson,George Patterson,ok,https://en.wikipedia.org/wiki/George_Patterson_%28missionary%29,2026-04-06T05:17:51Z,intelligence/leader-research/profiles/george-patterson/media/headshot/george-patterson-source.jpg,Wikipedia thumbnail — verify Commons file page before public use; may require attribution,enwiki title: George Patterson (missionary)
graham-cray,Graham Cray,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
graham-joseph-hill,Graham Joseph Hill,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
hugh-halter,Hugh Halter,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ian-mobsby,Ian Mobsby,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
james-k-a-smith,James K.A. Smith,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jay-pathak,Jay Pathak,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jeff-vanderstelt,Jeff Vanderstelt,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jeremy-chambers,Jeremy Chambers,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jessie-cruickshank,Jessie Cruickshank,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jim-putman,Jim Putman,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jo-saxton,Jo Saxton,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
john-burke,John Burke,not-found,,,,,no usable enwiki page with thumbnail in top search results (or disambiguation only)
john-mark-comer,John Mark Comer,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jon-ferguson,Jon Ferguson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jon-tyson,Jon Tyson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jonny-baker,Jonny Baker,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
joshua-johnson,Joshua Johnson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
jr-woodward,JR Woodward,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
justin-long,Justin Long,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
karina-kreminski,Karina Kreminski,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
kim-hammond,Kim Hammond,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
kurt-rietema,Kurt Rietema,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
lance-ford,Lance Ford,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
larry-walkemeyer,Larry Walkemeyer,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
leonard-hjalmarson,Leonard Hjalmarson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
leonard-sweet,Leonard Sweet,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
linda-bergquist,Linda Bergquist,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
lisa-rodriguez-watson,Lisa Rodriguez-Watson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
luc-kabongo,Luc Kabongo,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
lucas-pulley,Lucas Pulley,ok,resumed — see notes,2026-04-06T05:18:55Z,intelligence/leader-research/profiles/lucas-pulley/media/headshot/lucas-pulley-source.png,Wikipedia batch — verify Commons before public use,skipped fetch; file already present
mandy-smith,Mandy Smith,ok,resumed — see notes,2026-04-06T05:18:55Z,intelligence/leader-research/profiles/mandy-smith/media/headshot/mandy-smith-source.jpg,Wikipedia batch — verify Commons before public use,skipped fetch; file already present
mark-berry,Mark Berry,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mark-nelson,Mark Nelson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mark-sayers,Mark Sayers,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
martin-robinson,Martin Robinson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
marykate-morse,MaryKate Morse,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
matt-smay,Matt Smay,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
michael-adam-beck,Michael Adam Beck,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
michael-frost,Michael Frost,ok,https://en.wikipedia.org/wiki/Michael_Frost_%28minister%29,2026-04-06T05:19:15Z,intelligence/leader-research/profiles/michael-frost/media/headshot/michael-frost-source.jpg,Wikipedia thumbnail — verify Commons file page before public use; may require attribution,enwiki title: Michael Frost (minister)
michael-moynagh,Michael Moynagh,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mike-breen,Mike Breen,not-found,,,,,no usable enwiki page with thumbnail in top search results (or disambiguation only)
missy-wallace,Missy Wallace,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
monica-paredes-chambers,Monica Paredes Chambers,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
neil-cole,Neil Cole,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
nelus-niemandt,Nelus Niemandt,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
nicky-gumbel,Nicky Gumbel,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
noemi-chavez,Noemi Chavez,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
oscar-muriu,Oscar Muriu,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
oystein-gjerme,Oystein Gjerme,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
pete-greig,Pete Greig,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
pete-hughes,Pete Hughes,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
peyton-jones,Peyton Jones,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ralph-moore,Ralph Moore,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
reggie-mcneal,Reggie McNeal,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rich-robinson,Rich Robinson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rich-villodas,Rich Villodas,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rob-kelly,Rob Kelly,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rob-wegner,Rob Wegner,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
robby-gallaty,Robby Gallaty,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
robert-coleman,Robert Coleman,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
roger-helland,Roger Helland,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
sam-metcalf,Sam Metcalf,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
sam-stephens,Sam Stephens,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
sean-gladding,Sean Gladding,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
seth-mcbee,Seth McBee,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
shane-claiborne,Shane Claiborne,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
shannon-kiser,Shannon Kiser,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
skye-jethani,Skye Jethani,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
stan-parks,Stan Parks,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
stefan-paas,Stefan Paas,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
steve-addison,Steve Addison,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
steve-taylor,Steve Taylor,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
